Date,Price,Open,High,Low,Vol.,Change %
07-09-2024,3048.76,3019.64,3108.63,3004.62,291.40K,0.96%
07-08-2024,3019.64,2930.48,3084.2,2826.32,517.87K,3.04%
07-07-2024,2930.48,3068.79,3072.32,2923.63,194.87K,-4.51%
07-06-2024,3068.79,2981.4,3080.16,2955.65,225.18K,2.93%
07-05-2024,2981.4,3057.85,3108.66,2822.44,940.65K,-2.50%
07-04-2024,3057.81,3295.13,3313.23,3052.15,510.41K,-7.20%
07-03-2024,3295.13,3421.71,3432.12,3256.31,356.89K,-3.70%
07-02-2024,3421.71,3442.66,3463.9,3402.98,149.31K,-0.61%
07-01-2024,3442.67,3437.84,3522,3426.69,241.71K,0.14%
06/30/2024,3437.84,3378.6,3459.12,3356.74,150.94K,1.75%
06/29/2024,3378.6,3380.17,3408.32,3374.78,95.20K,-0.05%
06/28/2024,3380.15,3450.45,3487.12,3369.65,238.05K,-2.04%
06/27/2024,3450.45,3370.79,3472.72,3364.08,217.37K,2.37%
06/26/2024,3370.72,3395.03,3424.75,3328.42,250.14K,-0.72%
06/25/2024,3395.03,3352.26,3424.88,3337.14,275.47K,1.28%
06/24/2024,3352.29,3420.83,3433.89,3245.76,601.35K,-2.00%
06/23/2024,3420.84,3495.96,3520.35,3410.03,191.03K,-2.15%
06/22/2024,3495.87,3518.03,3520.8,3476.08,158.47K,-0.63%
06/21/2024,3518.03,3512.95,3543.69,3447.5,392.71K,0.15%
06/20/2024,3512.91,3561.24,3624.46,3486.58,371.29K,-1.36%
06/19/2024,3561.3,3484.57,3585.8,3466.82,346.10K,2.20%
06/18/2024,3484.55,3511.52,3515.87,3373.14,480.08K,-0.77%
06/17/2024,3511.52,3625.11,3636.99,3470.65,356.79K,-3.13%
06/16/2024,3625.11,3568.74,3650.11,3541.46,156.55K,1.58%
06/15/2024,3568.72,3481.75,3592.84,3474.26,256.22K,2.50%
06/14/2024,3481.84,3470.16,3530.94,3368.09,339.90K,0.34%
06/13/2024,3470.15,3559.95,3561.15,3433.13,316.98K,-2.52%
